[0.011s][info][gc] Using The Z Garbage Collector
[189.260s][info][gc] GC(109) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[190.260s][info][gc] GC(110) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[191.261s][info][gc] GC(111) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[192.260s][info][gc] GC(112) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[193.167s][info][gc] GC(113) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[194.071s][info][gc] GC(114) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[195.072s][info][gc] GC(115) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[196.074s][info][gc] GC(116) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[197.074s][info][gc] GC(117) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[198.073s][info][gc] GC(118) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[199.082s][info][gc] GC(119) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[201.166s][info][gc] GC(120) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[202.869s][info][gc] GC(121) Garbage Collection (Proactive) 12M(60%)->12M(60%)
[215.073s][info][gc] GC(122) Garbage Collection (Proactive) 14M(70%)->10M(50%)
[216.261s][info][gc] GC(123) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[217.369s][info][gc] GC(124) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[218.379s][info][gc] GC(125) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[220.392s][info][gc] GC(126) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[223.370s][info][gc] GC(127) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[226.074s][info][gc] GC(128) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[227.967s][info][gc] GC(129) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[229.466s][info][gc] GC(130) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[230.671s][info][gc] GC(131) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[231.873s][info][gc] GC(132) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[232.966s][info][gc] GC(133) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[233.967s][info][gc] GC(134) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[234.963s][info][gc] GC(135) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[235.963s][info][gc] GC(136) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[236.869s][info][gc] GC(137) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[237.759s][info][gc] GC(138) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[238.665s][info][gc] GC(139) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[239.558s][info][gc] GC(140) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[240.465s][info][gc] GC(141) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[241.371s][info][gc] GC(142) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[242.370s][info][gc] GC(143) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[243.370s][info][gc] GC(144) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[244.262s][info][gc] GC(145) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[245.167s][info][gc] GC(146) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[246.059s][info][gc] GC(147) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[246.964s][info][gc] GC(148) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[247.870s][info][gc] GC(149) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[248.798s][info][gc] GC(150) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[253.668s][info][gc] GC(151) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[257.370s][info][gc] GC(152) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[259.870s][info][gc] GC(153) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[261.559s][info][gc] GC(154) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[262.965s][info][gc] GC(155) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[264.172s][info][gc] GC(156) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[265.266s][info][gc] GC(157) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[266.371s][info][gc] GC(158) Garbage Collection (Proactive) 12M(60%)->12M(60%)
[272.973s][info][gc] GC(159) Garbage Collection (Proactive) 14M(70%)->10M(50%)
[274.270s][info][gc] GC(160) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[275.369s][info][gc] GC(161) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[276.463s][info][gc] GC(162) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[277.464s][info][gc] GC(163) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[278.463s][info][gc] GC(164) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[279.370s][info][gc] GC(165) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[280.360s][info][gc] GC(166) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[281.359s][info][gc] GC(167) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[282.359s][info][gc] GC(168) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[283.265s][info][gc] GC(169) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[284.172s][info][gc] GC(170) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[285.171s][info][gc] GC(171) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[286.172s][info][gc] GC(172) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[287.172s][info][gc] GC(173) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[288.172s][info][gc] GC(174) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[289.172s][info][gc] GC(175) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[290.172s][info][gc] GC(176) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[291.173s][info][gc] GC(177) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[292.172s][info][gc] GC(178) Garbage Collection (Proactive) 12M(60%)->10M(50%)
